id,nombre,precio
30be362d-2a8a-41bf-ac5b-89d001ef1de9,Beer - Pilsner Urquell,2527
459411b1-40de-4433-9981-af189969c637,Isomalt,243
e43a721e-9ff3-467f-9335-f0b19a801b91,Wine - Magnotta - Pinot Gris Sr,147
9b0e877f-bfe4-4a28-807e-af26a3e8de2c,Guava,331
749dd4d1-6911-4c8c-9c08-63843bf3c4fb,Lettuce - Lambs Mash,2269
6388afdc-0076-4fa5-83f1-1627c2d3aa60,Pasta - Canelloni,544
4604737a-4599-450b-b1a2-e4f9ad955044,Sword Pick Asst,696
3e7de71e-4e97-481e-a190-9eceec81cb69,Soup - Campbells Chicken,574
976dac65-c058-4725-aff6-2fa59167e76e,Cheese - La Sauvagine,54
2ab1c88e-93d7-4b9a-a506-1f59d0df851a,"Artichoke - Bottom, Canned",97
eb998048-db82-4140-89c2-e8eb9f503c43,Beer - Tetleys,37
14b4968d-3be8-4483-8bd2-cc7194bc9332,Jam - Raspberry,298
6dbcbea7-c96b-45c1-85ff-97e446fbabcc,Wine - Toasted Head,449
2c926835-fcd3-41ef-b30a-ecb931d89db1,Amaretto,585
65774da7-fe5f-49e8-93f4-0103f11ba022,Gatorade - Xfactor Berry,1454
7e86b25f-93ce-46f0-84a3-0e721e9bcae0,Table Cloth 81x81 White,456
bae55f44-6639-4fbb-9533-87ef571c0d0b,Pineapple - Golden,293
256e4dc4-2329-4b79-8bed-15202cc2841a,"Star Anise, Whole",1372
d388aad7-e38d-489c-b4ce-730b8ac93a5c,"Mop Head - Cotton, 24 Oz",1273
123db7c6-bcfa-4354-8716-3b72f26afc22,Ecolab - Power Fusion,328
2245ad57-dc71-439e-a51f-030a00aeed38,Salt - Celery,207
2415cc1c-6cac-4e2f-8387-b9f5668e7399,"Cherries - Bing, Canned",453
0f4ff23f-d5f9-43aa-9dae-392ee1313706,Cheese - Asiago,70
f7b80f21-6dea-43c2-a1c5-0558d956984d,Monkfish Fresh - Skin Off,3114
c847acf2-0c2c-48de-9254-b309f84527ad,V8 - Berry Blend,192
335abfdd-e5dd-4c19-a7e0-5c54fb9796ba,Beets - Mini Golden,493
fba30b6a-44c0-4d88-bfb4-82b5936fbe15,Danishes - Mini Raspberry,518
add2e6e7-68d9-4e17-8ab9-34d6bacea0cb,"Bread - Rolls, Corn",180
8b290631-3c40-4765-a3e0-7b0e72e539ae,Kellogs All Bran Bars,534
ba16cc64-dc95-448d-9b67-bf5b39188f3e,Tomatoes - Hot House,337
1b5f37cc-a09f-4b9c-a806-5ac469879f99,Chocolate Bar - Coffee Crisp,205
06d400e3-bbe3-490b-9a85-1fd78a15b674,Huck Towels White,110
15e3054a-c01e-428c-853c-058ed6dab764,Celery Root,851
f161b93f-478e-41ef-b3ae-eb2fa5df83d5,Appetizer - Cheese Bites,1318
b715ff72-acb6-490f-843c-499fdc027e43,Truffle Cups Green,147
43754ce6-4541-43fb-abb4-789b42febdaf,Paper Towel Touchless,369
69d6ece3-426a-49b3-90ce-e5140a11d854,Latex Rubber Gloves Size 9,1136
5f8e91e5-1ca7-4ff7-abad-8cffa8488505,"Yogurt - Raspberry, 175 Gr",410
6e2a42ae-1c6f-4b18-8e82-20df9238acd5,Flour - Semolina,2778
0154bac2-88c2-4dac-8e22-821fc28963cf,Lid Tray - 16in Dome,230
472f84bb-3b4c-4828-8851-51c2a8e4c489,"Chocolate - Semi Sweet, Calets",488
905dba5c-f075-4dfa-bb31-1f86f0dc9891,Country Roll,3108
54b8d73d-8b79-4cae-abc9-d41f0de004d7,Fond - Chocolate,1049
6bde17af-02a0-4887-ac5b-4879b1eb71cb,Coffee Decaf Colombian,361
85e2310d-46fe-4321-95dc-f10715e85fe2,Kellogs Special K Cereal,164
f8e39b78-dcb9-4999-85c9-143ccca37fa4,"Wine - White, Cooking",182
a5391197-e415-4383-bdce-f28a773bc16b,Lotus Root,2336
cca6aff9-b4bb-44be-863c-fdfefa61d8c5,Chocolate - Sugar Free Semi Choc,108
fa8a9d57-ced0-4bb4-af4d-6367116076ae,Sprouts - Baby Pea Tendrils,966
84305095-2438-4a74-8bbb-e0b9e619a316,"Lamb - Whole, Frozen",235
d508dc1a-e134-4121-bcd2-f8b241f96be3,"Bar Mix - Pina Colada, 355 Ml",344
07ffd756-7265-4066-bdc6-f628ddce4d7b,Wine - Rioja Campo Viejo,716
5e158144-5149-4868-a4f1-4ff4c7b5ddaf,Mushroom - Crimini,32
