,id,fecha,id_producto,id_cliente,cantidad,descuento,id_tienda
0,de249853-d129-41ce-8fc5-e4729a7e34b9,2024-02-12 19:12:00,30be362d-2a8a-41bf-ac5b-89d001ef1de9,b5f9c894-ac04-4785-8112-91ee0e598113,30,3,377a6598-039a-485c-836d-daf1fbf32238
1,03a62d85-904c-4ca1-90c2-cbe6140a6a5c,2023-06-28 16:00:00,459411b1-40de-4433-9981-af189969c637,ce7cf0c4-4b91-44b9-9200-f973a751b53f,200,24,9c339b9b-61be-45e7-9bb4-3747bb8e4d45
2,7ba12e88-b130-45df-a903-f8b97e4696dd,2023-01-04 14:38:00,e43a721e-9ff3-467f-9335-f0b19a801b91,c3b228c7-74ce-49a3-a3b3-cd2e1dccf9bc,37,57,dd0dd8a1-c63a-47e1-9e74-804e95b85866
3,969f4240-ddf3-44e9-8cb7-4b4bfa9042bc,2023-09-24 23:24:00,9b0e877f-bfe4-4a28-807e-af26a3e8de2c,51a5f054-8f61-4cc9-a13a-b427964a73c7,176,7,8bf84e18-03dd-4466-85e3-a13baa4edfdc
4,6046746b-3064-4f4e-b7f3-e6302008ffbe,2023-07-16 13:23:00,749dd4d1-6911-4c8c-9c08-63843bf3c4fb,cbee1941-4b03-459d-bf4d-39af94da5d29,33,37,76e1771f-adaf-46c3-841c-e717a9859685
5,5ce66731-4c58-4b15-b65f-9142771e9b33,2023-09-02 12:30:00,6388afdc-0076-4fa5-83f1-1627c2d3aa60,daa30d59-6e0c-4557-9677-c22decca4469,172,26,e4427886-217d-4a31-9d08-58d57cb90349
6,be3fdc9d-70c1-4bc3-a9e4-56b1a774d2af,2023-04-07 18:53:00,4604737a-4599-450b-b1a2-e4f9ad955044,e91d03eb-86ba-4527-ab76-1e6c335c8f00,107,53,1e54da2a-2638-47dc-aae3-f05c9400e72b
7,3ef99090-3f8d-4bea-a75a-75c2f132ff6f,2023-11-29 12:14:00,3e7de71e-4e97-481e-a190-9eceec81cb69,fb6aa893-f46a-4394-9c4b-1c7d89b5ea3b,93,15,bcb30177-eda6-4601-a0be-ac327b7bcf50
8,5d57cd76-c9b0-4fab-b52f-6c0977ea8ed5,2024-03-16 23:45:00,976dac65-c058-4725-aff6-2fa59167e76e,a5831789-30e1-4dd8-855c-8d63672d282f,133,30,c7d4658d-6884-4151-aa87-8e8d576f8d85
9,50cf8315-6817-46b8-9f2c-5779b18ace0e,2023-04-04 09:25:00,2ab1c88e-93d7-4b9a-a506-1f59d0df851a,949d559e-1467-4924-9a4e-0beead2b3dc9,171,36,7957abe8-e9be-4645-a9b9-fef0f614a3e7
10,de68c67b-cc50-4ff8-b455-d32b5c767843,2023-10-26 18:13:00,eb998048-db82-4140-89c2-e8eb9f503c43,f16b8c2e-6357-46e0-bfb5-2d6fd99f0600,198,31,d29699a8-be06-4590-8f09-530184894390
11,085d7c69-fe04-4fc1-8b40-bf2c7dba69e8,2023-08-03 08:38:00,14b4968d-3be8-4483-8bd2-cc7194bc9332,ac118d01-5373-426f-bd02-01b990da8343,170,21,15f3bf49-09e4-45bf-89fa-c87f1d2110e8
12,093e2bc6-62bf-49b0-95da-40be37fcd167,2024-01-11 23:33:00,6dbcbea7-c96b-45c1-85ff-97e446fbabcc,6256d206-255a-4f93-9f9c-7ee36678eca5,182,43,f449b9fd-c4aa-43bb-9993-3e618a1daed5
13,2c5a967c-14cd-4ba2-87c6-3640e3944742,2023-05-18 14:30:00,2c926835-fcd3-41ef-b30a-ecb931d89db1,095eaf73-6119-4dec-831a-b029af88163b,147,8,25ab4ff3-a6ab-4a89-bb82-d203bd78ebe3
14,6137b1d2-a100-43ca-87f9-8faa54863632,2023-09-08 18:32:00,65774da7-fe5f-49e8-93f4-0103f11ba022,664411ab-fa60-4772-bc78-ebf57be13740,68,23,1d542fe1-c9be-4c17-adac-3d671626da9e
15,d5334d60-ee30-4e82-83a7-5827c721aa16,2023-11-04 14:38:00,7e86b25f-93ce-46f0-84a3-0e721e9bcae0,4f479b0d-baef-426b-a8ec-9d3721384945,46,19,4fe2d569-8b14-4510-bee7-e4b64f26c13e
16,7ea7f6f4-9416-45ec-b70c-84ef4442d006,2023-01-21 10:51:00,bae55f44-6639-4fbb-9533-87ef571c0d0b,50a37dcb-3b29-462c-b188-56e7eb3a146a,104,54,0997dd2d-79b2-4b53-89ee-a73b6f70ed81
17,d308dc8a-3782-41f1-90a1-1744e3133538,2023-12-31 16:38:00,256e4dc4-2329-4b79-8bed-15202cc2841a,6a70f7fa-80e6-42c2-8443-faf6d4b9adbe,47,53,acf50562-e200-4b9d-8363-a48a026c7867
18,32998ca8-a436-4428-be02-00f7c30844d3,2024-02-24 11:32:00,d388aad7-e38d-489c-b4ce-730b8ac93a5c,d99734b8-ce00-4184-bbb0-a32a71a03c6b,50,50,63233fa3-2e6a-4f91-b1d0-caff3655126c
19,39845f77-5221-4d07-89d6-a5bb6efd3625,2024-02-29 23:52:00,123db7c6-bcfa-4354-8716-3b72f26afc22,725278e1-42bd-4275-9321-6cfefb432db3,51,26,325f1154-c459-4d5d-b3b6-53f765b16399
20,3b60879d-92f8-4a72-9637-f3ffc810b8d0,2024-03-05 17:13:00,2245ad57-dc71-439e-a51f-030a00aeed38,08c59c1f-0124-4fc8-8442-dd608a59a902,44,3,c44db6bd-09bb-4f7d-8ac7-70cc05be60b4
21,769439e0-8fb7-46aa-9977-bf06b3b4e565,2023-03-15 21:21:00,2415cc1c-6cac-4e2f-8387-b9f5668e7399,1486632f-b0af-4e0b-a938-019961fb688c,148,29,361157c8-f908-4b6b-bc76-872216e8217f
22,4dff5123-85ad-4557-9224-52478f94206a,2024-02-20 13:11:00,0f4ff23f-d5f9-43aa-9dae-392ee1313706,e4cef13c-0701-4c24-a2ca-3344a34a713e,151,11,b2cbd9ad-f1d1-4953-b8c6-7c54a3fa8ffd
23,d53c3cb4-4ada-4143-a178-d651b94cf256,2023-05-15 16:39:00,f7b80f21-6dea-43c2-a1c5-0558d956984d,5e0ecd05-49c8-491f-b520-e9dc1920d3d2,11,3,e9f00dbc-3771-4460-bb70-408e90d6d63a
24,b63a7f2b-0062-445e-80d5-bf377b7f27f2,2023-11-26 10:35:00,c847acf2-0c2c-48de-9254-b309f84527ad,2afac653-3d94-4cc1-b5c9-6c60e8c43a9b,164,16,1036fc25-3557-4cf2-98a0-6bd18208ea9d
25,3f972c9a-842e-47bd-90a8-4ca3d7e3c9af,2024-01-04 13:47:00,335abfdd-e5dd-4c19-a7e0-5c54fb9796ba,c93905c1-3cc5-4c62-9365-12697a44dd2a,75,53,5e974f5d-c9b7-4fd5-b064-033fe5c16f53
26,baefbc2b-41f2-403c-9b17-bb312bdb35c9,2023-07-18 10:49:00,fba30b6a-44c0-4d88-bfb4-82b5936fbe15,4e35e835-9104-4606-8d81-434ef01b2a75,68,30,e04650f9-e532-4d4a-a387-c6bee55ba213
27,fb69a648-de6b-4fc9-939b-6e7927b3fefb,2023-05-30 11:49:00,add2e6e7-68d9-4e17-8ab9-34d6bacea0cb,47ec4a66-fef9-4c2e-ad7b-416e460b91b0,165,27,842079f7-a9dd-44e0-831e-872d01db0a4b
28,ea0a55cb-130a-45da-9d6d-50963a3f87ce,2023-05-12 21:32:00,8b290631-3c40-4765-a3e0-7b0e72e539ae,dde9c3fa-3542-4ea8-9cec-fb2582e36701,170,24,215a5cf9-9436-4009-b041-eb37f96a6201
29,c4b1deab-aab5-44f7-891b-f8eaabed5b9e,2024-01-01 20:15:00,ba16cc64-dc95-448d-9b67-bf5b39188f3e,f2cf20a8-7433-43cc-9c18-bdefd57fce6a,156,23,c48ea3f3-e718-4663-89e2-a000d8156cb6
